WELL_NAME,API_NO,OPERATOR,FRAC_SERVICE_COMPANY,COUNTY,STATE,FORMATION,STAGE_NUMBER,TOTAL_STAGES,STAGE_DATE,STAGE_START_TIME,STAGE_END_TIME,TREATMENT_TIME_MIN,PERF_TOP_FT_MD,PERF_BOTTOM_FT_MD,STAGE_LENGTH_FT,NUM_CLUSTERS,CLUSTER_SPACING_FT,BREAKDOWN_PRESSURE_PSI,FRACTURE_EXTENSION_PRESSURE_PSI,MAX_TREATING_PRESSURE_PSI,AVG_TREATING_PRESSURE_PSI,ISIP_PSI,CLOSURE_PRESSURE_PSI,MAX_PUMP_RATE_BPM,AVG_PUMP_RATE_BPM,SLURRY_VOLUME_BBL,CLEAN_FLUID_VOLUME_BBL,PAD_VOLUME_BBL,TOTAL_PROPPANT_LBS,TOTAL_PROPPANT_PLACED_LBS,MAX_PROPPANT_CONC_PPG,AVG_PROPPANT_CONC_PPG,FLUID_TYPE,FRICTION_REDUCER_GAL,FRICTION_REDUCER_CONC_GPT,SCALE_INHIBITOR_GAL,BIOCIDE_GAL,PROPPANT_TYPE_1,PROPPANT_1_LBS,PROPPANT_TYPE_2,PROPPANT_2_LBS,WELLBORE_FLUID_BBL,SCREEN_OUT,JOB_QUALITY,NOTES
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,1,55,2024-10-07,07:00,09:21,94,22652,22859,207.5,5,34,11385,9878,9600,8902,7692,6909,104.2,98.2,9260,9021,915,470812,470812,1.91,1.24,Slickwater,378,1.0,7201,4495,100 Mesh Ottawa Sand,312819,40/70 Ottawa Sand,157993,288,N,GOOD,Toe stage; mini-frac diagnostic pumped prior to main treatment.
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,2,55,2024-10-07,10:42,13:35,95,22445,22652,207.5,5,34,11378,9790,9469,8721,7708,6854,103.4,98.2,9364,9153,817,416659,416659,1.65,1.08,Slickwater,384,1.0,7307,4589,100 Mesh Ottawa Sand,261791,40/70 Ottawa Sand,154868,325,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,3,55,2024-10-07,14:54,17:38,95,22237,22444,207.5,5,34,11247,9919,9619,9012,7736,6953,105.4,99.0,9451,9211,987,471684,471684,1.88,1.22,Slickwater,386,1.0,7370,4608,100 Mesh Ottawa Sand,304740,40/70 Ottawa Sand,166944,304,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,4,55,2024-10-07,19:12,21:29,92,22030,22237,207.5,5,34,11273,9713,9425,8813,7594,6782,108.6,99.7,9206,8987,929,429410,429410,1.78,1.14,Slickwater,377,1.0,7169,4467,100 Mesh Ottawa Sand,273746,40/70 Ottawa Sand,155664,312,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,5,55,2024-10-07,22:41,01:05,94,21822,22029,207.5,5,34,11325,9629,9347,8700,7565,6744,105.3,97.9,9210,8981,1208,449634,449634,1.86,1.19,Slickwater,377,1.0,7204,4475,100 Mesh Ottawa Sand,270396,40/70 Ottawa Sand,179238,419,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,6,55,2024-10-08,03:01,05:47,106,21615,21822,207.5,5,34,11328,9799,9477,8820,7636,6843,104.8,98.7,10514,10268,1273,483517,483517,1.72,1.12,Slickwater,431,1.0,8228,5114,100 Mesh Ottawa Sand,304162,40/70 Ottawa Sand,179355,417,N,EXCELLENT,High treating pressure; potential frac complexity or NWB tortuosity.
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,7,55,2024-10-08,07:52,10:14,104,21407,21614,207.5,5,34,11354,9692,9399,8650,7637,6838,107.1,98.0,10213,9960,1005,496405,496405,1.85,1.19,Slickwater,418,1.0,7939,5004,100 Mesh Ottawa Sand,312815,40/70 Ottawa Sand,183590,399,N,EXCELLENT,High treating pressure; potential frac complexity or NWB tortuosity.
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,8,55,2024-10-08,12:16,14:51,97,21200,21407,207.5,5,34,11238,9460,9203,8498,7692,6849,105.8,98.4,9579,9384,909,384117,384117,1.56,0.97,Slickwater,394,1.0,7462,4703,100 Mesh Ottawa Sand,252979,40/70 Ottawa Sand,131138,335,N,ACCEPTABLE,
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,9,55,2024-10-08,17:15,20:03,103,20992,21199,207.5,5,34,11199,9564,9264,8657,7672,6850,104.3,99.0,10267,10039,1226,447941,447941,1.53,1.06,Slickwater,421,1.0,8012,4997,100 Mesh Ottawa Sand,277619,40/70 Ottawa Sand,170322,391,N,GOOD,
Cyclone 1H,42-329-30024,Snow Energy,Halliburton,Midland,TX,Wolfcamp A,10,55,2024-10-08,21:24,23:50,91,20785,20992,207.5,5,34,11212,9720,9430,8800,7681,6841,105.2,98.7,9055,8832,1202,436884,436884,1.86,1.18,Slickwater,370,1.0,7032,4425,100 Mesh Ottawa Sand,272166,40/70 Ottawa Sand,164718,369,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
