WELL_NAME,API_NO,OPERATOR,FRAC_SERVICE_COMPANY,COUNTY,STATE,FORMATION,STAGE_NUMBER,TOTAL_STAGES,STAGE_DATE,STAGE_START_TIME,STAGE_END_TIME,TREATMENT_TIME_MIN,PERF_TOP_FT_MD,PERF_BOTTOM_FT_MD,STAGE_LENGTH_FT,NUM_CLUSTERS,CLUSTER_SPACING_FT,BREAKDOWN_PRESSURE_PSI,FRACTURE_EXTENSION_PRESSURE_PSI,MAX_TREATING_PRESSURE_PSI,AVG_TREATING_PRESSURE_PSI,ISIP_PSI,CLOSURE_PRESSURE_PSI,MAX_PUMP_RATE_BPM,AVG_PUMP_RATE_BPM,SLURRY_VOLUME_BBL,CLEAN_FLUID_VOLUME_BBL,PAD_VOLUME_BBL,TOTAL_PROPPANT_LBS,TOTAL_PROPPANT_PLACED_LBS,MAX_PROPPANT_CONC_PPG,AVG_PROPPANT_CONC_PPG,FLUID_TYPE,FRICTION_REDUCER_GAL,FRICTION_REDUCER_CONC_GPT,SCALE_INHIBITOR_GAL,BIOCIDE_GAL,PROPPANT_TYPE_1,PROPPANT_1_LBS,PROPPANT_TYPE_2,PROPPANT_2_LBS,WELLBORE_FLUID_BBL,SCREEN_OUT,JOB_QUALITY,NOTES
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,1,58,2024-11-14,06:00,08:41,101,22143,22344,201.0,5,33,11326,9816,9505,8801,7661,6803,106.7,97.8,9879,9668,815,412331,412331,1.63,1.02,Slickwater,406,1.0,7706,4841,100 Mesh Ottawa Sand,258537,40/70 Ottawa Sand,153794,439,N,ACCEPTABLE,Toe stage; mini-frac diagnostic pumped prior to main treatment.
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,2,58,2024-11-14,10:16,13:08,107,21942,22143,201.0,5,33,11358,9742,9409,8669,7610,6785,109.6,98.7,10627,10394,1012,456974,456974,1.64,1.05,Slickwater,436,1.0,8271,5170,100 Mesh Ottawa Sand,289868,40/70 Ottawa Sand,167106,291,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,3,58,2024-11-14,14:47,17:08,105,21741,21942,201.0,5,33,11266,9751,9454,8910,7598,6816,105.2,97.5,10270,10040,983,452688,452688,1.66,1.07,Slickwater,421,1.0,8057,4999,100 Mesh Ottawa Sand,275751,40/70 Ottawa Sand,176937,347,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,4,58,2024-11-14,19:08,21:47,88,21540,21741,201.0,5,33,11435,9496,9253,8631,7558,6767,107.5,97.9,8650,8439,833,413104,413104,1.75,1.17,Slickwater,354,1.0,6771,4228,100 Mesh Ottawa Sand,257637,40/70 Ottawa Sand,155467,448,N,ACCEPTABLE,
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,5,58,2024-11-14,23:12,01:43,104,21339,21540,201.0,5,33,11357,9758,9502,8825,7730,6964,102.1,97.0,10140,9913,1067,447311,447311,1.73,1.07,Slickwater,416,1.0,7968,4975,100 Mesh Ottawa Sand,284526,40/70 Ottawa Sand,162785,422,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,6,58,2024-11-15,03:21,06:06,107,21138,21339,201.0,5,33,11230,9762,9474,8764,7715,6916,105.7,98.5,10584,10386,924,390227,390227,1.4,0.89,Slickwater,436,1.0,8315,5220,100 Mesh Ottawa Sand,247617,40/70 Ottawa Sand,142610,388,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,7,58,2024-11-15,08:01,10:16,96,20937,21138,201.0,5,33,11390,9845,9536,8827,7658,6864,108.3,97.9,9486,9243,1171,477502,477502,1.87,1.23,Slickwater,388,1.0,7349,4591,100 Mesh Ottawa Sand,292347,40/70 Ottawa Sand,185155,280,N,EXCELLENT,High treating pressure; potential frac complexity or NWB tortuosity.
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,8,58,2024-11-15,11:49,14:43,102,20736,20937,201.0,5,33,11492,9606,9378,8708,7579,6788,103.7,98.5,10120,9910,881,410849,410849,1.57,0.99,Slickwater,416,1.0,7888,4945,100 Mesh Ottawa Sand,258759,40/70 Ottawa Sand,152090,302,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,9,58,2024-11-15,15:58,18:46,97,20535,20736,201.0,5,33,11177,9690,9392,8690,7710,6940,108.3,100.1,9807,9586,851,433288,433288,1.55,1.08,Slickwater,402,1.0,7696,4782,100 Mesh Ottawa Sand,272590,40/70 Ottawa Sand,160698,294,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Gale 1H,42-329-30032,Snow Energy,ProFrac Services,Midland,TX,Wolfcamp A,10,58,2024-11-15,21:14,00:11,100,20334,20535,201.0,5,33,11383,9694,9391,8731,7644,6898,109.4,99.3,9932,9734,1210,388429,388429,1.52,0.95,Slickwater,408,1.0,7781,4893,100 Mesh Ottawa Sand,245666,40/70 Ottawa Sand,142763,447,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
