WELL_NAME,API_NO,OPERATOR,FRAC_SERVICE_COMPANY,COUNTY,STATE,FORMATION,STAGE_NUMBER,TOTAL_STAGES,STAGE_DATE,STAGE_START_TIME,STAGE_END_TIME,TREATMENT_TIME_MIN,PERF_TOP_FT_MD,PERF_BOTTOM_FT_MD,STAGE_LENGTH_FT,NUM_CLUSTERS,CLUSTER_SPACING_FT,BREAKDOWN_PRESSURE_PSI,FRACTURE_EXTENSION_PRESSURE_PSI,MAX_TREATING_PRESSURE_PSI,AVG_TREATING_PRESSURE_PSI,ISIP_PSI,CLOSURE_PRESSURE_PSI,MAX_PUMP_RATE_BPM,AVG_PUMP_RATE_BPM,SLURRY_VOLUME_BBL,CLEAN_FLUID_VOLUME_BBL,PAD_VOLUME_BBL,TOTAL_PROPPANT_LBS,TOTAL_PROPPANT_PLACED_LBS,MAX_PROPPANT_CONC_PPG,AVG_PROPPANT_CONC_PPG,FLUID_TYPE,FRICTION_REDUCER_GAL,FRICTION_REDUCER_CONC_GPT,SCALE_INHIBITOR_GAL,BIOCIDE_GAL,PROPPANT_TYPE_1,PROPPANT_1_LBS,PROPPANT_TYPE_2,PROPPANT_2_LBS,WELLBORE_FLUID_BBL,SCREEN_OUT,JOB_QUALITY,NOTES
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,1,60,2024-10-25,05:30,07:48,96,22909,23109,199.6,5,33,11681,10137,9851,9200,7897,7062,110.3,99.9,9648,9426,778,434976,434976,1.71,1.1,Slickwater,475,1.2,7541,4721,100 Mesh White Sand,268461,40/70 White Sand,166515,412,N,ACCEPTABLE,Toe stage; mini-frac diagnostic pumped prior to main treatment.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,2,60,2024-10-25,09:15,12:16,113,22709,22909,199.6,5,33,11503,10222,9863,9285,7902,7060,107.3,100.5,11412,11161,1417,492030,492030,1.62,1.05,Slickwater,562,1.2,8902,5552,100 Mesh White Sand,304890,40/70 White Sand,187140,317,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,3,60,2024-10-25,14:19,16:40,92,22510,22710,199.6,5,33,11452,10058,9697,9133,8091,7269,107.4,100.8,9289,9079,1027,413223,413223,1.64,1.08,Slickwater,457,1.2,7287,4566,100 Mesh White Sand,260185,40/70 White Sand,153038,399,N,ACCEPTABLE,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,4,60,2024-10-25,18:59,21:44,102,22310,22510,199.6,5,33,11801,10269,9956,9314,7996,7117,107.1,100.1,10271,9993,1177,546204,546204,1.94,1.3,Slickwater,503,1.2,8001,4984,100 Mesh White Sand,334670,40/70 White Sand,211534,292,N,EXCELLENT,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,5,60,2024-10-25,22:51,01:45,99,22110,22310,199.6,5,33,11748,10225,9904,9177,7869,7018,105.6,100.4,9965,9712,839,499034,499034,1.9,1.22,Slickwater,489,1.2,7755,4875,100 Mesh White Sand,306626,40/70 White Sand,192408,413,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,6,60,2024-10-26,02:51,05:29,114,21911,22111,199.6,5,33,11765,10412,10099,9428,7994,7100,109.9,99.7,11418,11200,967,426910,426910,1.43,0.91,Slickwater,564,1.2,8919,5575,100 Mesh White Sand,265484,40/70 White Sand,161426,401,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,7,60,2024-10-26,06:58,09:24,102,21711,21911,199.6,5,33,11694,10383,10039,9492,7938,7056,106.3,99.8,10195,9959,965,462842,462842,1.67,1.11,Slickwater,501,1.2,7951,4991,100 Mesh White Sand,280897,40/70 White Sand,181945,357,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,8,60,2024-10-26,11:41,14:40,102,21512,21712,199.6,5,33,11557,10163,9812,9163,7962,7091,106.0,100.5,10293,10063,805,450633,450633,1.73,1.07,Slickwater,507,1.2,8035,5051,100 Mesh White Sand,282566,40/70 White Sand,168067,302,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,9,60,2024-10-26,16:06,18:42,110,21312,21512,199.6,5,33,11532,9927,9595,8929,8005,7097,108.3,100.3,11086,10852,939,460597,460597,1.58,1.01,Slickwater,546,1.2,8720,5397,100 Mesh White Sand,283566,40/70 White Sand,177031,291,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,10,60,2024-10-26,21:03,23:28,91,21112,21312,199.6,5,33,11631,10047,9718,9156,7931,7100,109.1,101.1,9214,8950,841,519959,519959,2.16,1.38,Slickwater,451,1.2,7176,4489,100 Mesh White Sand,313678,40/70 White Sand,206281,283,N,EXCELLENT,
