EVENT_ID,API_NO,WELL_NAME,FIELD,EVENT_DATE,EVENT_TYPE,EVENT_DESCRIPTION,DURATION_HOURS,COST_USD
EVT-000001,42-475-91000,Jackson 10H,Monahans,2025-03-06,CHEMICAL_TREATMENT,Emulsion issues at separator requiring increased demulsifier dosage,33.8,3345.85
EVT-000002,42-475-91000,Jackson 10H,Monahans,2026-05-04,INSPECTION,"Elevated motor temperature detected, monitoring increased frequency",36.8,19498.49
EVT-000003,42-475-91000,Jackson 10H,Monahans,2025-05-26,CHEMICAL_TREATMENT,"Scale buildup detected in tubing, chemical squeeze scheduled",2.3,22506.95
EVT-000004,42-475-91000,Jackson 10H,Monahans,2026-04-12,MAINTENANCE,"Scale buildup detected in tubing, chemical squeeze scheduled",27.2,15138.03
EVT-000005,42-475-91000,Jackson 10H,Monahans,2026-06-08,FAILURE,"Sand production increasing, pump wear accelerating",110.9,92781.39
EVT-000006,42-389-50549,Wood 2H,Coyanosa,2024-09-29,INSPECTION,Routine tubing pressure test and casing inspection,42.8,5529.99
EVT-000007,42-389-50549,Wood 2H,Coyanosa,2024-09-24,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,27.9,17148.54
EVT-000008,42-389-50549,Wood 2H,Coyanosa,2026-06-07,INSPECTION,Routine preventive maintenance on ESP system including motor inspection and cable check,6.9,4922.29
EVT-000009,42-389-50549,Wood 2H,Coyanosa,2024-10-18,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,18.3,14688.74
EVT-000010,42-371-77600,Kelly 7H,Pecos Valley,2024-11-11,CHEMICAL_TREATMENT,"Sand production increasing, pump wear accelerating",37.5,3226.86
EVT-000011,42-371-77600,Kelly 7H,Pecos Valley,2025-05-22,MAINTENANCE,"Scale buildup detected in tubing, chemical squeeze scheduled",22.3,24317.73
EVT-000012,42-371-77600,Kelly 7H,Pecos Valley,2025-11-01,EQUIPMENT_CHANGE,Emulsion issues at separator requiring increased demulsifier dosage,104.0,133923.38
EVT-000013,42-371-77600,Kelly 7H,Pecos Valley,2025-08-22,EQUIPMENT_CHANGE,"Elevated motor temperature detected, monitoring increased frequency",151.7,160732.96
EVT-000014,42-371-77600,Kelly 7H,Pecos Valley,2026-04-22,EQUIPMENT_CHANGE,"Scale buildup detected in tubing, chemical squeeze scheduled",108.8,263021.69
EVT-000015,42-475-47203,Watson 5H,Kermit,2024-05-17,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,13.1,14084.62
EVT-000016,42-475-47203,Watson 5H,Kermit,2025-12-25,MAINTENANCE,Routine tubing pressure test and casing inspection,10.8,20604.85
EVT-000017,42-475-47203,Watson 5H,Kermit,2025-10-31,MAINTENANCE,Routine tubing pressure test and casing inspection,46.8,22899.86
EVT-000018,42-475-47203,Watson 5H,Kermit,2024-06-10,INSPECTION,Annual safety valve inspection and function test completed,9.5,9780.65
EVT-000019,42-475-70600,Peterson 11H,Van Horn,2023-06-11,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,30.7,2423.85
EVT-000020,42-475-70600,Peterson 11H,Van Horn,2024-10-26,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,36.4,11509.84
EVT-000021,42-109-67143,Anderson 8H,Red Hills,2024-10-27,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,36.3,7573.59
EVT-000022,42-475-49012,Fisher 3V,Balmorhea,2025-10-03,INSPECTION,Scheduled wellhead maintenance and valve replacement,40.6,22837.9
EVT-000023,42-109-85993,Butler 11H,Kermit,2026-05-02,MAINTENANCE,Routine tubing pressure test and casing inspection,14.5,13768.52
EVT-000024,42-495-45611,Roberts 5H,Red Hills,2025-04-24,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,10.9,24881.33
EVT-000025,42-495-45611,Roberts 5H,Red Hills,2025-11-24,INSPECTION,Routine tubing pressure test and casing inspection,45.0,11298.22
EVT-000026,42-495-45611,Roberts 5H,Red Hills,2026-06-10,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,15.8,24503.34
EVT-000027,42-475-66058,State 1V,Van Horn,2023-10-03,INSPECTION,Routine tubing pressure test and casing inspection,42.3,9535.62
EVT-000028,42-475-66058,State 1V,Van Horn,2025-10-30,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,5.4,7203.17
EVT-000029,42-475-66058,State 1V,Van Horn,2024-02-12,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,7.6,18079.96
EVT-000030,42-389-47494,Martin 8H,Toyah,2026-04-18,MAINTENANCE,Annual safety valve inspection and function test completed,47.2,18485.67
EVT-000031,42-389-47494,Martin 8H,Toyah,2025-10-31,MAINTENANCE,Routine tubing pressure test and casing inspection,39.5,20323.36
EVT-000032,42-389-47494,Martin 8H,Toyah,2026-05-22,INSPECTION,Quarterly ESP system diagnostic and vibration analysis completed,28.4,11174.17
EVT-000033,42-389-47494,Martin 8H,Toyah,2025-07-31,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,36.0,5729.99
EVT-000034,42-301-74285,Wallace 10V,Pecos Valley,2025-11-02,CHEMICAL_TREATMENT,Routine tubing pressure test and casing inspection,29.5,9107.33
EVT-000035,42-301-74285,Wallace 10V,Pecos Valley,2024-06-16,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,26.8,19808.6
EVT-000036,42-495-31233,Griffin 11H,Loving,2025-11-20,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,7.9,23712.26
EVT-000037,42-495-31233,Griffin 11H,Loving,2025-10-18,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,17.0,4909.11
EVT-000038,42-475-35482,Owens 1H,Buena Vista,2024-07-15,INSPECTION,Routine preventive maintenance on ESP system including motor inspection and cable check,25.5,17361.38
EVT-000039,42-389-66800,Hill 5V,Monahans,2026-04-05,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,6.8,17597.21
EVT-000040,42-389-79375,Harris 12H,Loving,2026-05-18,MAINTENANCE,Annual safety valve inspection and function test completed,2.2,9294.74
EVT-000041,42-371-35170,Graham 6H,Mentone,2024-04-27,EQUIPMENT_CHANGE,Emulsion issues at separator requiring increased demulsifier dosage,116.7,151340.73
EVT-000042,42-371-35170,Graham 6H,Mentone,2022-12-12,MAINTENANCE,"Sand production increasing, pump wear accelerating",22.7,24034.04
EVT-000043,42-371-35170,Graham 6H,Mentone,2026-05-21,EQUIPMENT_CHANGE,"Sand production increasing, pump wear accelerating",127.8,198578.2
EVT-000044,42-371-35170,Graham 6H,Mentone,2026-05-08,FAILURE,"Paraffin accumulation restricting flow, hot oil treatment performed",279.2,558067.97
EVT-000045,42-371-88414,Williams 6H,Buena Vista,2024-11-14,MAINTENANCE,Routine tubing pressure test and casing inspection,35.8,5311.75
