API_NO,WELL_NAME,FIELD,OPERATOR,LATITUDE,LONGITUDE,COUNTY,STATE,FORMATION,STATUS,SPUD_DATE,FIRST_PROD_DATE,TVD_FT,MD_FT,LATERAL_LENGTH_FT,PERF_TOP_FT,PERF_BOTTOM_FT
42-475-91000,Jackson 10H,Monahans,Texas Energy LLC,31.435273,-103.026276,Ward,TX,Avalon Shale,ACTIVE,2023-12-22,2024-02-26,11160,23585,12426,11045,11226
42-389-50549,Wood 2H,Coyanosa,Texas Energy LLC,31.531578,-103.390321,Reeves,TX,Wolfcamp B,ACTIVE,2022-11-15,2023-02-06,9536,21346,11386,9036,9831
42-371-77600,Kelly 7H,Pecos Valley,Texas Energy LLC,31.098316,-103.122784,Pecos,TX,Wolfcamp A,ACTIVE,2023-12-08,2024-03-04,10561,16587,6311,10376,10712
42-475-47203,Watson 5H,Kermit,Texas Energy LLC,31.661768,-103.496172,Ward,TX,1st Bone Spring,SHUT-IN,2022-10-25,2023-01-07,12794,21259,8936,12629,13081
42-475-70600,Peterson 11H,Van Horn,Texas Energy LLC,31.68779,-103.386645,Ward,TX,Wolfcamp B,ACTIVE,2022-12-09,2023-02-25,8683,17114,8211,8190,8951
42-109-67143,Anderson 8H,Red Hills,Texas Energy LLC,31.528731,-104.541827,Culberson,TX,Wolfcamp B,ACTIVE,2023-01-02,2023-03-25,13322,23676,10574,13153,13512
42-475-49012,Fisher 3V,Balmorhea,Texas Energy LLC,31.499396,-103.229894,Ward,TX,Wolfcamp A,ACTIVE,2025-02-27,2025-05-09,9416,22687,13214,9295,9599
42-109-85993,Butler 11H,Kermit,Texas Energy LLC,31.954273,-104.257715,Culberson,TX,Wolfcamp A,ACTIVE,2025-06-25,2025-09-03,11798,24172,12458,11547,11858
42-495-45611,Roberts 5H,Red Hills,Texas Energy LLC,31.768444,-103.477194,Winkler,TX,1st Bone Spring,SHUT-IN,2024-01-21,2024-03-21,10220,23596,13758,10120,10436
42-475-66058,State 1V,Van Horn,Texas Energy LLC,31.67263,-103.33172,Ward,TX,1st Bone Spring,ACTIVE,2023-02-15,2023-04-30,13227,18875,5769,12966,13314
42-389-47494,Martin 8H,Toyah,Texas Energy LLC,31.672538,-103.631925,Reeves,TX,1st Bone Spring,SHUT-IN,2025-04-22,2025-06-22,10798,19933,9412,10532,11053
42-301-74285,Wallace 10V,Pecos Valley,Texas Energy LLC,31.933729,-103.981745,Loving,TX,Wolfcamp C,ACTIVE,2023-09-26,2023-12-11,12969,25977,13188,12536,13079
42-495-31233,Griffin 11H,Loving,Texas Energy LLC,31.873067,-103.253742,Winkler,TX,Wolfcamp C,ACTIVE,2025-04-27,2025-06-17,9877,24620,14771,9590,10140
42-475-35482,Owens 1H,Buena Vista,Texas Energy LLC,31.473352,-103.021787,Ward,TX,Wolfcamp C,ACTIVE,2024-02-15,2024-04-17,11889,25727,13470,11736,12140
42-389-66800,Hill 5V,Monahans,Texas Energy LLC,31.60746,-103.245684,Reeves,TX,Wolfcamp A,ACTIVE,2022-10-21,2023-01-07,10581,22892,12141,10126,10643
42-389-79375,Harris 12H,Loving,Texas Energy LLC,31.04705,-103.232853,Reeves,TX,Delaware Mountain,ACTIVE,2022-03-28,2022-06-12,11709,21943,9900,11272,11992
42-371-35170,Graham 6H,Mentone,Texas Energy LLC,31.181799,-103.331721,Pecos,TX,2nd Bone Spring,ACTIVE,2022-01-28,2022-03-22,9896,20146,10384,9572,10190
42-371-88414,Williams 6H,Buena Vista,Texas Energy LLC,30.565986,-103.675042,Pecos,TX,1st Bone Spring,ACTIVE,2024-06-17,2024-08-10,13196,22912,10063,13087,13294
42-109-30863,Bailey 5V,Red Hills,Texas Energy LLC,31.471721,-104.152684,Culberson,TX,Wolfcamp A,ACTIVE,2025-06-21,2025-09-16,10510,18264,7483,10025,10695
42-475-65262,Myers 11H,Culberson County,Texas Energy LLC,31.524211,-103.162781,Ward,TX,1st Bone Spring,ACTIVE,2025-12-10,2026-02-09,9868,20199,10677,9572,10087
42-371-49079,Stewart 7H,Wink,Texas Energy LLC,31.118334,-103.748067,Pecos,TX,Wolfcamp C,ACTIVE,2024-05-28,2024-08-11,12689,25575,12991,12202,12962
42-109-44804,Jordan 4H,Culberson County,Texas Energy LLC,31.710549,-104.194649,Culberson,TX,1st Bone Spring,ACTIVE,2023-04-23,2023-07-03,9384,17913,8811,9041,9618
42-389-75587,Ellis 6H,Van Horn,Texas Energy LLC,31.749779,-103.162962,Reeves,TX,3rd Bone Spring,ACTIVE,2022-06-24,2022-09-16,12055,24360,12004,11582,12342
42-495-56642,University 5H,Reeves County,Texas Energy LLC,31.976012,-103.210511,Winkler,TX,Wolfcamp A,ACTIVE,2025-01-17,2025-04-11,10828,16456,6055,10451,10954
42-475-50210,Bryant 6V,Pecos Valley,Texas Energy LLC,31.2856,-103.18776,Ward,TX,Wolfcamp A,ACTIVE,2022-11-25,2023-02-14,10668,19406,8453,10276,10824
42-389-67963,Ellis 7H,Orla,Texas Energy LLC,31.162038,-103.162452,Reeves,TX,Avalon Shale,ACTIVE,2024-08-03,2024-09-27,12249,24576,11854,12049,12489
42-389-62325,Powell 12V,Monahans,Texas Energy LLC,31.507159,-103.706831,Reeves,TX,Delaware Mountain,ACTIVE,2023-04-18,2023-07-08,9344,19831,10573,9160,9460
